cluster,query,url,historical_value,recent_value,trend,technical_issue,content_issue,cannibalization,decision,redirect_target,confidence,business_priority,action,status
AMOA,amoa si,https://oling.fr/amoa-si,271_impressions_baseline,active_baseline_visibility,stable_visibility_low_ctr,www_fragmentation_sitewide,possible_low_relevance_snippet,POSSIBLE,KEEP_AND_OPTIMIZE,,CONFIRMED,P0,hold_master_candidate_until_page_query_export,OPEN
AMOA,amoa si,https://oling.fr/consulting/assistance-a-maitrise-douvrage,183_impressions_baseline,reduced_vs_amoa_si_but_still_visible,legacy_asset_still_alive,no_major_technical_issue_proven,possible_outdated_content,POSSIBLE,KEEP_AND_OPTIMIZE,,CONFIRMED,P0,retain_as_support_asset_pending_query_mapping,OPEN
AMOA,amoa si,https://oling.fr/practice/consulting,unknown_in_current_export,not_visible_in_top_pages_export,unknown,no_major_technical_issue_proven,hub_intent_only,NOT_ENOUGH_DATA,INVESTIGATE,,NOT_ENOUGH_DATA,P1,keep_as_hub_candidate_without_redirect,OPEN
ERP,amoa erp,https://oling.fr/business-apps/erp,66_impressions_baseline,active_baseline_visibility,better_supported_than_erp_progiciel,no_major_technical_issue_proven,legacy_service_page_possible,POSSIBLE,KEEP_AND_OPTIMIZE,,CONFIRMED,P0,retain_as_current_erp_master_candidate,OPEN
ERP,amoa erp,https://www.oling.fr/erp-progiciel,1_impression_www_only,near_absent,weak_signal,www_fragmentation_confirmed,landing_not_yet_supported_by_gsc,POSSIBLE,KEEP,,CONFIRMED,P0,keep_temporarily_without_301_until_exact_page_query_export,OPEN
ERP,amoa erp,https://oling.fr/expertises/amoa-erp-applications-metiers,3_impressions,emerging,very_early_signal,no_major_technical_issue_proven,new_public_expertise_page,POSSIBLE,KEEP,,CONFIRMED,P1,do_not_merge_or_redirect_yet,OPEN
CRM,amoa crm,https://oling.fr/crm,9_impressions_non_www,low_but_real_visibility,fragile,www_fragmentation_confirmed,needs_strengthening,POSSIBLE,KEEP_AND_OPTIMIZE,,CONFIRMED,P0,reinforce_current_page_without_new_slug,OPEN
GMAO,conseil gmao,https://oling.fr/gmao,9_impressions_plus_1_click,real_signal,fragile_but_promising,www_fragmentation_confirmed,needs_strengthening,POSSIBLE,KEEP_AND_OPTIMIZE,,CONFIRMED,P0,reinforce_current_page_without_new_slug,OPEN
SI_FINANCE,amoa si finance,https://oling.fr/si-finance,2_impressions_baseline,positive_low_volume_signal,early_signal,no_major_technical_issue_proven,needs_reinforcement_later,NOT_ENOUGH_DATA,KEEP_AND_OPTIMIZE,,CONFIRMED,P0,preserve_and_do_not_perturb,OPEN
INTEGRATION_PROGICIEL,unknown_exact_query,https://oling.fr/mapsi/integration-progiciel,14_impressions_baseline_position_10_21,possibly_improving_signal,positive_visibility_despite_mismatch,no_major_technical_issue_proven,slug_content_mismatch_confirmed,POSSIBLE,KEEP,,CONFIRMED,P0,freeze_redirect_decision_until_query_url_mapping,OPEN
AI_ACT,ai_act,https://oling.fr/expertises-audit/conformite-ia-gouvernance-et-ai-act,17_impressions,active_low_volume,emerging,no_major_technical_issue_proven,service_intent_possible,POSSIBLE,KEEP_AND_OPTIMIZE,,CONFIRMED,P1,likely_service_master_candidate,OPEN
AI_ACT,ai_act,https://oling.fr/expertises/conformite-ia-gouvernance-ai-act,21_impressions,active_low_volume,emerging,no_major_technical_issue_proven,editorial_hub_intent_possible,POSSIBLE,KEEP,,CONFIRMED,P1,keep_as_support_pending_query_split,OPEN
QSE,qse,https://oling.fr/expertises-audit/qse,931_impressions,huge_low_ctr_visibility,opportunity_not_migration_loss,no_major_technical_issue_proven,snippet_intent_mismatch_likely,POSSIBLE,KEEP_AND_OPTIMIZE,,CONFIRMED,P1,phase_2_ctr_and_relevance_work,OPEN
TEST,pilot_oling_e2e_article,https://oling.fr/ressources/pilot-oling-e2e-article,3_impressions,indexation_incident,should_be_removed,public_test_content_indexed,invalid_public_content,NONE,410,,CONFIRMED,P0,block_slug_unpublish_if_exists_and_verify_live,OPEN
HOST,fragmented_hosts,https://www.oling.fr/*,202_impressions_2_clicks_fragmented,still_live_in_http_tests,ongoing_fragmentation,www_non_www_redirect_missing,duplicate_host_exposure,NONE,REDIRECT_301,https://oling.fr,CONFIRMED,P0,deploy_server_level_or_htaccess_canonical_redirect,OPEN
