cluster,query_signal,url_1,url_1_impressions,url_1_clicks,url_1_position,url_2,url_2_impressions,url_2_clicks,url_2_position,risk,preferred_url,decision,reason
amoa,amoa si,https://oling.fr/amoa-si,271,0,39.96,https://oling.fr/consulting/assistance-a-maitrise-douvrage,183,0,21.51,POSSIBLE,,HOLD,aggregate_baseline_only_without_page_query_mapping
amoa,cadrage stratégique amoa,https://oling.fr/amoa-si,271,0,39.96,https://oling.fr/consulting/assistance-a-maitrise-douvrage,183,0,21.51,POSSIBLE,,HOLD,query_is_real_but_query_to_page_switch_is_not_proven
amoa,practice consulting,https://oling.fr/amoa-si,271,0,39.96,https://oling.fr/practice/consulting,0,0,,NOT_ENOUGH_DATA,,HOLD,page_absent_from_top_pages_export
erp,amoa erp,https://oling.fr/business-apps/erp,66,0,35.27,https://oling.fr/erp-progiciel,1,0,5.00,POSSIBLE,https://oling.fr/business-apps/erp,HOLD,business_apps_erp_has_confirmed_baseline_value_and_erp_progiciel_remains_weak_but_overlap_with_legacy_landing_and_expertise_page_still_requires_page_query_evidence_before_any_301
gmao,conseil gmao,https://oling.fr/gmao,9,1,19.22,https://www.oling.fr/gmao,26,0,25.69,CONFIRMED,https://oling.fr/gmao,HOLD,gmao_remains_the_primary_canonical_url_and_must_be_strengthened_while_erp_and_amoa_pages_support_without_competing
crm,amoa crm,https://oling.fr/crm,9,0,18.56,https://www.oling.fr/crm,4,0,50.00,CONFIRMED,https://oling.fr/crm,HOLD,crm_remains_the_primary_canonical_url_and_must_be_strengthened_while_business_apps_erp_and_amoa_si_support_without_competing
integration-progiciel,progiciel_mapsi,https://oling.fr/mapsi/integration-progiciel,14,0,10.21,https://oling.fr/microsoft365/integration-progiciel,0,0,,POSSIBLE,,HOLD,historical_variant_exists_in_git_but_current_switch_is_not_documented
si_finance,amoa si finance,https://oling.fr/si-finance,2,0,6.00,https://oling.fr/business-apps/erp,66,0,35.27,POSSIBLE,https://oling.fr/si-finance,HOLD,si_finance_remains_the_master_page_for_finance_transformation_while_business_apps_erp_covers_cross_functional_erp_programs_and_supports_finance_use_cases
si_finance,finance_expertise,https://oling.fr/si-finance,2,0,6.00,https://oling.fr/expertises-audit/finance,30,0,74.83,POSSIBLE,https://oling.fr/si-finance,HOLD,si_finance_should_carry_the_money_intent_for_amoa_and_transformation_while_finance_expertise_pages_if_retained_should_support_without_competing
si_finance,facturation_electronique,https://oling.fr/si-finance,2,0,6.00,https://oling.fr/consulting/reforme-facturation-electronique-amoa,94,1,20.97,POSSIBLE,https://oling.fr/facturation-electronique-amoa,HOLD,si_finance_can_link_to_einvoicing_as_a_connected_finance_use_case_but_should_not_absorb_the_dedicated_facturation_electronique_intent
