cluster,query,query_type,existing_or_target,clicks,impressions,ctr,position,probable_url,confidence,source
BRAND,oling,BRANDED,EXISTING_GSC_QUERY,26,143,18.18%,1.83,https://oling.fr/,CONFIRMED,docs/seo/gsc/import/Requêtes.csv
BRAND,mapsi,BRANDED,EXISTING_GSC_QUERY,4,312,1.28%,6.85,https://oling.fr/practice/mapsi,CONFIRMED,docs/seo/gsc/import/Requêtes.csv
AMOA_SI,amoa si,NON_BRANDED_BUSINESS,EXISTING_GSC_QUERY,0,44,0%,25.55,https://oling.fr/amoa-si,CONFIRMED,docs/seo/gsc/import/Requêtes.csv
AMOA_SI,cabinet amoa,NON_BRANDED_BUSINESS,EXISTING_GSC_QUERY,0,17,0%,26.24,https://oling.fr/amoa-si,LIKELY,docs/seo/gsc/import/Requêtes.csv
AMOA_SI,cabinet de conseil amoa,NON_BRANDED_BUSINESS,EXISTING_GSC_QUERY,0,21,0%,30.52,https://oling.fr/amoa-si,LIKELY,docs/seo/gsc/import/Requêtes.csv
AMOA_SI,cadrage stratégique amoa,NON_BRANDED_BUSINESS,EXISTING_GSC_QUERY,0,41,0%,13.54,https://oling.fr/amoa-si,LIKELY,docs/seo/gsc/import/Requêtes.csv
AMOA_SI,pilotage amoa,NON_BRANDED_BUSINESS,EXISTING_GSC_QUERY,0,1,0%,16,https://oling.fr/amoa-si,LIKELY,docs/seo/gsc/import/Requêtes.csv
AMOA_SI,amoa système d'information,NON_BRANDED_BUSINESS,EXISTING_GSC_QUERY,0,1,0%,40,https://oling.fr/amoa-si,LIKELY,docs/seo/gsc/import/Requêtes.csv
ERP,amoa erp,NON_BRANDED_BUSINESS,EXISTING_GSC_QUERY,0,69,0%,21.46,https://oling.fr/business-apps/erp,LIKELY,docs/seo/gsc/import/Requêtes.csv
ERP,conseil erp,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/business-apps/erp,NOT_ENOUGH_DATA,phase_2a_target_queries
ERP,cabinet amoa erp,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/business-apps/erp,NOT_ENOUGH_DATA,phase_2a_target_queries
ERP,cadrage erp,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/business-apps/erp,NOT_ENOUGH_DATA,phase_2a_target_queries
ERP,choix erp,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/business-apps/erp,NOT_ENOUGH_DATA,phase_2a_target_queries
ERP,refonte erp,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/business-apps/erp,NOT_ENOUGH_DATA,phase_2a_target_queries
ERP,migration erp,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/business-apps/erp,NOT_ENOUGH_DATA,phase_2a_target_queries
ERP,pilotage erp,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/business-apps/erp,NOT_ENOUGH_DATA,phase_2a_target_queries
CRM,amoa crm,NON_BRANDED_BUSINESS,EXISTING_GSC_QUERY,0,2,0%,53.5,https://oling.fr/crm,LIKELY,docs/seo/gsc/import/Requêtes.csv
CRM,conseil crm,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/crm,NOT_ENOUGH_DATA,phase_2a_target_queries
CRM,cabinet amoa crm,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/crm,NOT_ENOUGH_DATA,phase_2a_target_queries
CRM,choix crm,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/crm,NOT_ENOUGH_DATA,phase_2a_target_queries
CRM,cadrage crm,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/crm,NOT_ENOUGH_DATA,phase_2a_target_queries
CRM,refonte crm,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/crm,NOT_ENOUGH_DATA,phase_2a_target_queries
CRM,migration crm,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/crm,NOT_ENOUGH_DATA,phase_2a_target_queries
CRM,projet crm,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/crm,NOT_ENOUGH_DATA,phase_2a_target_queries
CRM,déploiement crm,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/crm,NOT_ENOUGH_DATA,phase_2a_target_queries
GMAO,conseil gmao,NON_BRANDED_BUSINESS,EXISTING_GSC_QUERY,0,19,0%,19.05,https://oling.fr/gmao,CONFIRMED,docs/seo/gsc/import/Requêtes.csv
GMAO,amoa gmao,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/gmao,NOT_ENOUGH_DATA,phase_2a_target_queries
GMAO,choix gmao,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/gmao,NOT_ENOUGH_DATA,phase_2a_target_queries
GMAO,projet gmao,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/gmao,NOT_ENOUGH_DATA,phase_2a_target_queries
GMAO,déploiement gmao,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/gmao,NOT_ENOUGH_DATA,phase_2a_target_queries
GMAO,migration gmao,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/gmao,NOT_ENOUGH_DATA,phase_2a_target_queries
GMAO,gestion de maintenance,NON_BRANDED_BUSINESS,TARGET_QUERY,NA,NA,NA,NA,https://oling.fr/gmao,NOT_ENOUGH_DATA,phase_2a_target_queries
